ont_barcode,local_id,central_id,type
55,VSMMC2023-WGS-106,7-116,positive
56,VSMMC2023-WGS-109,7-118,positive
57,VSMMC2023-WGS-110,7-119,positive
58,VSMMC2023-WGS-111,7-120,positive
59,VSMMC2023-WGS-112,7-121,positive
60,VSMMC2023-WGS-113,7-122,positive
61,VSMMC2023-WGS-114,7-123,positive
62,VSMMC2023-WGS-115,7-124,positive
63,VSMMC2023-WGS-116,7-125,positive
64,VSMMC2023-WGS-117,7-126,positive
65,VSMMC2023-WGS-118,7-127,positive
66,VSMMC2023-WGS-119,7-128,positive
67,VSMMC2023-WGS-121,7-130,positive
68,VSMMC2023-WGS-122,7-131,positive
69,VSMMC2023-WGS-123,7-132,positive
70,VSMMC2023-WGS-124,7-133,positive
71,VSMMC2023-WGS-125,7-134,positive
72,VSMMC2023-WGS-126,7-135,positive
73,VSMMC2023-WGS-127,7-136,positive
74,VSMMC2023-WGS-128,7-137,positive
75,VSMMC2023-WGS-129,7-138,positive
79,VSMMC2023-WGS-130,7-142,positive
80,VSMMC2023-WGS-131,7-143,positive
81,VSMMC2023-WGS-132,7-144,positive
82,VSMMC2023-WGS-133,7-145,positive
83,VSMMC2023-WGS-134,7-146,positive
84,VSMMC2023-WGS-135,7-147,positive
85,VSMMC2023-WGS-136,7-148,positive
86,VSMMC2023-WGS-137,7-149,positive
87,VSMMC2023-WGS-138,7-150,positive
88,VSMMC2023-WGS-139,7-151,positive
89,VSMMC2023-WGS-140,7-152,positive
90,VSMMC2023-WGS-141,7-153,positive
91,VSMMC2023-WGS-145,7-154,positive
92,VSMMC2023-WGS-150,7-155,positive
93,VSMMC2023-WGS-151,7-156,positive
94,VSMMC2023-WGS-152,7-157,positive
95,VSMMC2023-WGS-153,7-158,positive
96,VSMMC2023-WGS-154,7-159,positive
1,VSMMC2023-WGS-156,7-160,positive
54,VSMMC2023-WGS-NEC7,7-115,negative
78,VSMMC2023-WGS-NEC8,7-141,negative
76,VSMMC2023-WGS-NTC7A,7-139,negative
77,VSMMC2023-WGS-NTC7B,7-140,negative
2,VSMMC2023-WGS-NTC8A,7-161,negative
3,VSMMC2023-WGS-NTC8B,7-162,negative
